Datetime,Open,High,Low,Close,Volume
2015-01-01,589.75,603.5,574.75,579.5,182617
2015-01-08,580.0,581.0,536.0,537.75,307216
2015-01-15,540.5,545.0,523.0,536.75,227452
2015-01-22,536.5,542.5,503.0,505.25,273888
2015-01-29,506.0,521.75,492.25,511.0,337992
2015-02-05,511.25,534.0,508.5,525.75,430155
2015-02-12,523.25,548.0,518.25,527.75,304336
2015-02-19,528.0,537.25,496.0,497.75,168548
2015-02-26,498.0,523.0,491.25,493.5,21728
2015-03-05,491.75,503.75,481.0,503.0,1077
2015-03-12,503.0,520.25,493.0,510.75,212831
2015-03-19,516.0,540.5,505.25,519.0,288762
2015-03-26,519.0,531.75,498.25,528.5,416276
2015-04-02,528.0,544.25,517.75,526.25,319426
2015-04-09,525.5,527.5,490.0,490.75,460140
2015-04-16,490.0,506.5,489.0,498.75,234791
2015-04-23,499.5,503.5,460.0,477.25,110774
2015-04-30,477.0,481.75,460.0,475.75,4338
2015-05-07,472.75,489.75,465.75,481.0,579
2015-05-14,490.25,530.25,490.25,513.0,500691
2015-05-21,514.5,529.0,482.0,487.75,375220
2015-05-28,489.0,526.25,474.0,510.75,464851
2015-06-04,510.0,537.5,504.0,513.5,616716
2015-06-11,514.0,515.5,486.0,491.25,381110
2015-06-18,491.5,530.0,483.5,518.0,272084
2015-06-25,517.25,615.75,513.0,587.5,161984
2015-07-02,587.25,596.5,567.25,572.25,4125
2015-07-09,577.75,589.75,558.5,566.75,138078
2015-07-16,567.5,574.0,515.25,516.75,335678
2015-07-23,516.75,527.0,495.5,496.25,317317
2015-07-30,495.75,506.75,490.5,502.0,321444
2015-08-06,502.0,530.0,484.0,492.25,460840
2015-08-13,493.0,512.25,491.0,496.25,242492
2015-08-20,495.25,511.25,486.75,489.75,168317
2015-08-27,490.25,495.5,469.25,473.0,71470
2015-09-03,473.5,473.5,455.5,462.0,2223
2015-09-10,462.75,503.25,460.75,488.25,196536
2015-09-17,488.25,508.5,480.0,507.5,280871
2015-09-24,507.0,515.5,496.25,512.75,332507
2015-10-01,512.0,531.5,508.75,516.75,347154
2015-10-08,516.0,522.0,503.25,508.25,317551
2015-10-15,507.75,512.75,483.25,494.75,291875
2015-10-22,494.75,518.0,484.75,506.0,383344
2015-10-29,506.0,530.75,505.0,526.25,428432
2015-11-05,524.25,529.0,488.0,494.75,556302
2015-11-12,495.0,500.5,480.5,483.25,302226
2015-11-19,483.25,497.25,479.0,479.25,193455
2015-11-26,479.0,479.5,451.25,452.25,34280
2015-12-03,452.0,479.75,452.0,478.0,1201
2015-12-10,478.5,498.0,476.75,483.5,144002
2015-12-17,482.75,499.0,468.0,469.5,277471
2015-12-24,468.5,479.5,466.0,469.75,129370
2015-12-31,469.75,473.5,456.0,462.75,200324
2016-01-07,464.0,484.25,456.25,478.0,397045
2016-01-14,478.0,479.0,465.0,471.5,223768
2016-01-21,473.0,488.5,470.5,476.5,331123
2016-01-28,477.0,483.0,470.5,480.0,329585
2016-02-04,479.0,482.5,455.0,461.25,504941
2016-02-11,460.5,470.0,455.0,468.5,322215
2016-02-18,468.75,468.75,438.0,442.75,283316
2016-02-25,443.25,448.5,435.25,442.75,51869
2016-03-03,442.75,463.75,442.75,463.75,1734
2016-03-10,463.25,479.25,463.25,470.75,124624
