Datetime,Open,High,Low,Close,Volume
2015-01-01,4555.5,4620.0,4469.5,4479.5,10557338
2015-01-08,4513.0,4808.14990234375,4500.0,4680.0,12711581
2015-01-15,4723.0,4756.5,4560.0,4711.5,13755520
2015-01-22,4713.5,4795.0,4611.0,4743.5,11811689
2015-01-29,4705.0,4800.0,4589.80419921875,4688.0,15026262
2015-02-05,4601.0,4735.8232421875,4410.25,4491.0,18890924
2015-02-12,4500.0,4571.4150390625,4446.5,4485.0,12116074
2015-02-19,4400.0,4621.68603515625,4342.5,4501.5,11144305
2015-02-26,4499.5,4585.23193359375,4386.0,4423.5,9419627
2015-03-05,4440.5,4528.55712890625,4256.89794921875,4304.5,10598841
2015-03-12,4333.5,4781.30517578125,4317.5,4750.0,17560549
2015-03-19,4750.5,4876.66796875,4583.5,4761.5,14451613
2015-03-26,4724.5,4765.94384765625,4602.0,4640.5,13648694
2015-04-02,4625.5,4710.0,4605.0,4697.0,4733922
2015-04-09,4710.5,4900.0,4609.5,4857.5,13984255
2015-04-16,4880.0,4931.68212890625,4744.0,4863.0,12430125
2015-04-23,4874.0,4920.84912109375,4454.5,4457.5,19685414
2015-04-30,4456.0,4552.5,4389.0,4413.5,9212100
2015-05-07,4415.0,4584.5,4314.18017578125,4390.0,13481070
2015-05-14,4420.0,4501.9658203125,4345.5,4393.0,11297258
2015-05-21,4392.0,4489.5,4362.0,4468.5,9757282
2015-05-28,4484.0,4523.5,4331.0,4390.0,15239041
2015-06-04,4369.0,4388.5,4204.5,4281.0,14205594
2015-06-11,4261.0,4311.5,4100.0,4158.5,11508613
2015-06-18,4165.5,4375.548828125,4128.0,4250.0,15290943
2015-06-25,4220.0,4236.0,4019.0,4120.5,16761567
2015-07-02,4148.5,4238.56298828125,4120.0,4194.5,11727426
2015-07-09,4195.5,4414.76416015625,4172.0,4343.5,11238468
2015-07-16,4348.0,4387.453125,4269.64990234375,4281.0,9322375
2015-07-23,4331.0,4350.0,4135.5,4191.0,10119839
2015-07-30,4234.0,4429.5,4218.5,4424.5,12352098
